split,partition,n_votes,n_posts,n_users,n_communities,avg_votes_per_user,median_votes_per_user,avg_votes_per_post,pct_users_ge_5_votes,pct_users_ge_10_votes,pct_users_ge_20_votes,pct_user_community_pairs_ge_5_votes,pct_user_community_pairs_ge_10_votes,pct_user_community_pairs_ge_20_votes,pct_label_approve,pct_label_remove
intersection_chronological,test,8906,766,1052,12,8.465779467680608,4.0,11.6266318537859,0.45722433460076045,0.20912547528517111,0.07224334600760456,0.27995034140285535,0.11173184357541899,0.03910614525139665,0.881201044386423,0.11879895561357702
intersection_chronological,total,58095,5104,1902,13,30.54416403785489,18.0,11.38224921630094,1.0,1.0,0.4637223974763407,0.5595393307257714,0.37831377661886134,0.15471534115601912,0.8626567398119123,0.13734326018808776
windows/full/w020,train,6980,621,1727,14,4.04169079328315,3.0,11.239935587761675,0.25303995367689636,0.07701215981470759,0.022003474232773594,0.13758116883116883,0.040584415584415584,0.013392857142857142,0.8840579710144928,0.11594202898550725
windows/full/w020,val,11634,1035,1904,17,6.110294117647059,4.0,11.240579710144928,0.4269957983193277,0.1486344537815126,0.0430672268907563,0.21081081081081082,0.06868044515103339,0.02066772655007949,0.8579710144927536,0.14202898550724638
windows/full/w020,test,11868,1035,1897,17,6.256193990511334,4.0,11.466666666666667,0.4354243542435424,0.15498154981549817,0.045861887190300474,0.21630295250320924,0.07445442875481387,0.021822849807445442,0.8772946859903382,0.12270531400966184
windows/full/w020,total,30482,2691,1965,19,15.512468193384224,10.0,11.327387588257153,0.9201017811704835,0.505852417302799,0.2005089058524173,0.4305820610687023,0.1922709923664122,0.07061068702290077,0.8714232627276105,0.12857673727238944
windows/full/w040,train,13865,1242,1936,16,7.161673553719008,4.0,11.163446054750402,0.490702479338843,0.18388429752066116,0.059400826446280995,0.24275138803207896,0.09006785934608266,0.028069093152375078,0.8760064412238325,0.12399355877616747
windows/full/w040,val,11634,1035,1904,17,6.110294117647059,4.0,11.240579710144928,0.4269957983193277,0.1486344537815126,0.0430672268907563,0.21081081081081082,0.06868044515103339,0.02066772655007949,0.8579710144927536,0.14202898550724638
windows/full/w040,test,11868,1035,1897,17,6.256193990511334,4.0,11.466666666666667,0.4354243542435424,0.15498154981549817,0.045861887190300474,0.21630295250320924,0.07445442875481387,0.021822849807445442,0.8772946859903382,0.12270531400966184
windows/full/w040,total,37367,3312,1966,20,19.006612410986776,12.0,11.282306763285025,0.9821973550356052,0.626144455747711,0.25737538148524924,0.4684950135992747,0.22960108794197642,0.08907524932003627,0.8707729468599034,0.1292270531400966
windows/full/w060,train,21298,1863,1962,16,10.855249745158002,7.0,11.432098765432098,0.7222222222222222,0.3307849133537207,0.11365953109072376,0.34555674518201285,0.1354389721627409,0.04630620985010707,0.8625872249060654,0.1374127750939345
windows/full/w060,val,11634,1035,1904,17,6.110294117647059,4.0,11.240579710144928,0.4269957983193277,0.1486344537815126,0.0430672268907563,0.21081081081081082,0.06868044515103339,0.02066772655007949,0.8579710144927536,0.14202898550724638
windows/full/w060,test,11868,1035,1897,17,6.256193990511334,4.0,11.466666666666667,0.4354243542435424,0.15498154981549817,0.045861887190300474,0.21630295250320924,0.07445442875481387,0.021822849807445442,0.8772946859903382,0.12270531400966184
windows/full/w060,total,44800,3933,1967,20,22.775800711743774,14.0,11.390795830155097,0.9984748347737672,0.7513980681240467,0.32435180477885106,0.49600518246599007,0.2727272727272727,0.10839991362556683,0.8652428171878973,0.13475718281210272
windows/full/w080,train,28434,2484,1966,17,14.462868769074262,9.0,11.446859903381643,0.8992878942014242,0.4633774160732452,0.17243133265513733,0.4160333415052709,0.17970090708506986,0.06521206177984801,0.8623188405797102,0.13768115942028986
windows/full/w080,val,11634,1035,1904,17,6.110294117647059,4.0,11.240579710144928,0.4269957983193277,0.1486344537815126,0.0430672268907563,0.21081081081081082,0.06868044515103339,0.02066772655007949,0.8579710144927536,0.14202898550724638
windows/full/w080,test,11868,1035,1897,17,6.256193990511334,4.0,11.466666666666667,0.4354243542435424,0.15498154981549817,0.045861887190300474,0.21630295250320924,0.07445442875481387,0.021822849807445442,0.8772946859903382,0.12270531400966184
windows/full/w080,total,51936,4554,1967,20,26.403660396542957,16.0,11.404479578392621,1.0,0.8825622775800712,0.3914590747330961,0.5084147101599834,0.31872013297319757,0.12674007895283607,0.8647342995169082,0.13526570048309178
windows/full/w100,train,35596,3105,1967,19,18.096593797661413,11.0,11.464090177133656,0.9700050838840875,0.5973563802745298,0.24555160142348753,0.4615916955017301,0.22145328719723184,0.08788927335640138,0.8595813204508856,0.14041867954911433
windows/full/w100,val,11634,1035,1904,17,6.110294117647059,4.0,11.240579710144928,0.4269957983193277,0.1486344537815126,0.0430672268907563,0.21081081081081082,0.06868044515103339,0.02066772655007949,0.8579710144927536,0.14202898550724638
windows/full/w100,test,11868,1035,1897,17,6.256193990511334,4.0,11.466666666666667,0.4354243542435424,0.15498154981549817,0.045861887190300474,0.21630295250320924,0.07445442875481387,0.021822849807445442,0.8772946859903382,0.12270531400966184
